Food Item,Category,Diet Type,State,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Key Nutrients
Ghevar,Sweet,Veg,Cooked,1 piece,400,4,50,22,1,Honeycomb
Ginger,Vegetables,Veg,Raw,1 inch,9,0.2,2,0.1,0.2,Gingerol
Glucon-D Powder,Beverage Mix,Veg,Uncooked,15g,56,0,14,0,0,Glucose
Go Cheese Cube,Dairy,Veg,Ready to Eat,25g,75,5,1,6,0,Calcium
Goan Fish Curry,Main Course,Non-Veg,Cooked,1 bowl (200g),340,22,12,24,2,"Coconut Fat, Protein"
Gobi Manchurian,Snack,Veg,Cooked,1 serving,280,4,30,16,3,Indo Chinese
Gobi Manchurian (Dry),Snack,Veg,Cooked,1 plate,280,5,38,12,3.5,Cauliflower
Gobi Paratha,Breads,Veg,Cooked,1 piece,240,5,33,10,4,Fiber
Gongura Chicken,Main Course,Non-Veg,Cooked,1 bowl (200g),340,26,6,22,3,"Sorrel Leaves, Tangy"
Gongura Mutton,Main Course,Non-Veg,Cooked,1 bowl (200g),460,28,5,36,3,"Iron, Rich"
Gowardhan Ghee,Staples,Veg,Uncooked,15g,135,0,0,15,0,Saturated Fat
Gowardhan Paneer,Dairy,Veg,Uncooked,100g,295,19,2,24,0,Protein
Grapes (Green),Fruits,Veg,Uncooked,1 cup,104,1.1,27,0.2,1.4,Resveratrol
Gravy Momos,Snack,Veg,Cooked,1 plate (6pcs),350,7,42,18,2,Saucy
Green Chilli,Vegetables,Veg,Uncooked,10g,4,0.2,0.9,0.1,0.2,Capsaicin
Green Chilli Pickle,Side,Veg,Uncooked,1 tsp,20,0,2,1.5,0,Hot
Green Peas (Dry),Pulses,Veg,Raw,100g,315,21,57,1,22,Fiber
Green Peas (Fresh),Vegetables,Veg,Raw,100g,81,5,14,0.4,5,Protein
Grilled Chicken,Main,Non-Veg,Cooked,1 breast,160,28,0,5,0,Healthy
Groundnut Oil,Fats,Veg,Raw,1 tbsp,120,0,0,14,0,Cooking
Guava,Fruits,Veg,Uncooked,1 medium,38,1.5,8,0.5,3,High Vit C
Gujarati Dal,Main,Veg,Cooked,1 bowl,160,7,25,4,4,Sweet & Sour
Gulab Jamun,Sweet,Veg,Cooked,2 pieces,300,4,40,12,0,Syrup
Hakka Noodles,Main Course,Veg,Cooked,1 plate,360,8,60,10,3,Stir Fried
Haldiram Aloo Bhujia,Snacks,Veg,Ready to Eat,30g,180,3,12,14,1,Fats
Haldiram Bhujia Sev,Snacks,Veg,Ready to Eat,30g,185,3,11,15,1,Fats
Haldiram Gulab Jamun Tin,Sweets,Veg,Ready to Eat,1pc,120,2,25,2,0,Sugar
Haldiram Khatta Meetha,Snacks,Veg,Ready to Eat,30g,160,2,18,9,1,Sugar
Haldiram Moong Dal,Snacks,Veg,Ready to Eat,30g,140,6,14,6,2,Protein
Haldiram Navratan Mix,Snacks,Veg,Ready to Eat,30g,170,4,15,11,2,Nuts
Haldiram Rasgulla,Sweets,Veg,Ready to Eat,1pc,100,2,22,1,0,Sugar
Haldiram Soan Papdi,Sweets,Veg,Ready to Eat,30g,150,2,18,8,0,Sugar
Haleem,Main,Non-Veg,Cooked,1 bowl,400,25,30,20,5,Wheat Meat
Hara Bhara Kebab,Snack,Veg,Cooked,2 pieces,180,6,15,10,4,Spinach Peas
Haryali Chicken Tikka,Snack,Non-Veg,Cooked,5 pieces,240,28,6,10,1.5,"Mint, Spinach"
Hersheys Almond Spread,Staples,Veg,Ready to Eat,15g,85,2,7,5,0,Almond
Hersheys Chocolate Syrup,Sweets,Veg,Ready to Eat,20g,55,0,13,0,0,Sugar
Hersheys Milkshake,Beverage,Veg,Ready to Eat,200ml,175,5,25,6,0,Chocolate
Hide & Seek,Snacks,Veg,Ready to Eat,25g,120,1,18,5,1,Choco Chips
Horlicks Powder,Beverage Mix,Veg,Uncooked,20g,76,2,16,0.5,0.5,Zinc
Horse Gram (Kulthi),Pulses,Veg,Raw,100g,321,22,57,0.5,22,Kidney Health
Horse Gram Curry,Main,Veg,Cooked,1 bowl,160,9,25,2,8,Weight Loss
Hot and Sour Soup,Soup,Veg,Cooked,1 bowl,130,4,20,3,2.5,"Vinegar, Chilli"
Hyderabadi Biryani (Chicken),Rice,Non-Veg,Cooked,1 serving,450,22,42,20,2,Spicy
Hyderabadi Chicken Biryani,Main Course,Non-Veg,Cooked,1 plate (400g),750,35,85,30,5,"Protein, High Calorie"
Idiyappam,Breakfast,Veg,Cooked,2 pieces,160,2,35,1,1,String Hoppers
Idli,Breakfast,Veg,Cooked,2 pieces,120,4,24,0.5,1,Steamed
Imarti,Sweet,Veg,Cooked,1 piece,250,4,45,8,1,Urad Dal
India Gate Basmati Rice,Staples,Veg,Uncooked,100g,350,8,78,0.5,1,Carbs
Jackfruit (Raw),Vegetables,Veg,Raw,100g,95,1.7,23,0.6,1.5,Meat Substitute
Jackfruit (Ripe),Fruits,Veg,Uncooked,100g,95,1.7,23,0.6,1.5,Energy
Jackfruit Curry (Kathal),Main,Veg,Cooked,1 serving,210,4,25,10,5,Meaty Texture
Jalebi,Sweet,Veg,Cooked,2 pieces,300,2,50,10,0,Fermented
Jaljeera,Beverage,Veg,Uncooked,1 glass,30,0,7,0,0,Digestion
Jamun (Black Plum),Fruits,Veg,Uncooked,100g,60,0.7,14,0.2,0.9,Diabetic Friendly
Jeera Aloo,Main,Veg,Cooked,1 serving,160,3,25,6,3,Side Dish
Jeera Rice,Rice,Veg,Cooked,1 bowl,160,3,28,4,0.5,Cumin
Jimikand (Yam) Curry,Main Course,Veg,Cooked,1 bowl (150g),260,3,45,8,4,Slow Digest Carbs
JimJam Biscuit,Snacks,Veg,Ready to Eat,25g,115,1,18,4,0,Jam
Jolada Roti,Bread,Veg,Cooked,1 piece,180,4,36,2,5,"Sorghum, GF"
Jowar (Sorghum),Grains,Veg,Raw,100g,349,10,72,1.9,9,Antioxidants
Jowar Roti,Breads,Veg,Cooked,1 piece,110,3,22,1,3,Gluten Free
Kabuli Chana (Chickpea),Pulses,Veg,Raw,100g,364,19,61,6,17,Protein
Kachnar Ki Sabzi,Side,Veg,Cooked,1 bowl (150g),180,5,18,8,6,"Traditional, Fiber"
Kachori (Khasta),Snack,Veg,Cooked,1 piece,280,5,26,18,3,Moong Dal
Kachori (Moong Dal),Snack,Veg,Cooked,1 piece (60g),220,5,26,12,2.5,"Fat, Carbs"
Kachori (Pyaz),Snack,Veg,Cooked,1 piece,290,5,28,19,3,Onion
Kadai Chicken,Main,Non-Veg,Cooked,1 serving,300,28,10,16,2,Capsicum
Kadai Paneer,Main,Veg,Cooked,1 serving,290,14,15,20,3,Spicy
Kadhi Pakora,Main,Veg,Cooked,1 bowl,250,8,20,15,2,Yogurt Base
Kahwa,Beverage,Veg,Cooked,1 cup,20,0,4,0,0,Green Tea
Kaju Katli,Sweet,Veg,Cooked,2 pieces,120,3,14,7,1,Cashew
Kala Chana (Black Chickpea),Pulses,Veg,Raw,100g,360,19,61,6,17,Iron
Kala Chana (Dry),Side,Veg,Cooked,1 bowl (150g),260,14,38,6,10,"Iron, Protein"
Kalakand,Sweet,Veg,Cooked,1 piece,150,5,18,7,0,Moist
Kanji,Beverage,Veg,Uncooked,1 glass,35,1,8,0,1,Probiotic
Karela (Bitter Gourd),Side,Veg,Cooked,1 bowl (100g),160,3,15,10,4,Blood Sugar Control
Karela Fry,Main,Veg,Cooked,1 serving,180,3,15,12,4,Bitter
Kashmiri Dum Aloo,Main,Veg,Cooked,1 serving,280,5,32,14,4,Fennel
Kashmiri Pulao,Rice,Veg,Cooked,1 bowl,250,4,40,8,2,Dry Fruits
Kathal (Jackfruit) Curry,Main Course,Veg,Cooked,1 bowl (200g),240,4,36,8,6,"Meat Texture, Fiber"
Keema Matar,Main,Non-Veg,Cooked,1 serving,350,22,10,24,3,Minced Meat
Keema Paratha (Mutton),Breads,Non-Veg,Cooked,1 piece,320,15,30,16,2,High Protein
Kelloggs Chocos Moons,Breakfast,Veg,Ready to Eat,30g,118,2,25,1,1,Sugar
Kelloggs Froot Loops,Breakfast,Veg,Ready to Eat,30g,120,2,26,1,1,Sugar
Kelloggs Granola Almonds,Breakfast,Veg,Ready to Eat,50g,220,5,35,8,3,Almonds
Kelloggs Muesli Fruit & Nut,Breakfast,Veg,Ready to Eat,50g,190,4,40,3,3,Iron
Kelloggs Oats,Staples,Veg,Uncooked,100g,380,12,66,7,9,Oats
Kerala Fish Curry,Main Course,Non-Veg,Cooked,1 bowl (200g),310,24,10,18,2,"Kodampuli, Spicy"
Keya Pasta Sauce,Staples,Veg,Ready to Eat,50g,40,1,8,0.5,1,Tomato
Khandvi,Snack,Veg,Cooked,1 serving,160,6,18,8,2,Besan Roll
Kheer (Rice),Sweet,Veg,Cooked,1 bowl (150g),280,7,42,9,0.5,"Calcium, Carbs"
Khichdi,Main Course,Veg,Cooked,1 plate (250g),320,10,55,6,4,Easy Digest Carbs
Khichdi (Plain),Rice,Veg,Cooked,1 bowl,180,7,30,3,3,Comfort
Khoa (Mawa),Dairy,Veg,Cooked,100g,320,16,20,20,0,Sweet Base
Kinder Joy,Sweets,Veg,Ready to Eat,20g,110,2,11,6,0,Toy
Kinley Soda,Beverage,Veg,Ready to Eat,200ml,0,0,0,0,0,Carbonated
Kissan Mixed Fruit Jam,Staples,Veg,Ready to Eat,20g,56,0,14,0,0,Sugar
Kissan Tomato Ketchup,Staples,Veg,Ready to Eat,15g,20,0,5,0,0,Sodium
KitKat,Sweets,Veg,Ready to Eat,20g,100,1.5,12,5,0,Wafer
Kiwi,Fruits,Veg,Uncooked,1 medium,42,0.8,10,0.4,2.1,Vit C
Knol Khol,Vegetables,Veg,Raw,100g,27,1.7,6,0.1,3.6,Vitamin C
Knorr Chicken Delite Soup,Instant Food,Non-Veg,Uncooked,15g,55,2,9,1,0,Chicken
Knorr Manchow Soup,Instant Food,Veg,Uncooked,15g,52,1,10,0.5,1,Sodium
Knorr Mixed Vegetable Soup,Instant Food,Veg,Uncooked,15g,50,1,10,0.5,1,Sodium
Knorr Soupy Noodles,Instant Food,Veg,Uncooked,70g,290,6,45,9,2,Soup
Knorr Sweet Corn Soup,Instant Food,Veg,Uncooked,15g,55,1,11,0.5,1,Sodium
Knorr Tomato Soup,Instant Food,Veg,Uncooked,15g,50,1,10,0.5,1,Sodium
Kodo Millet,Grains,Veg,Raw,100g,309,8.3,66,1.4,9,Fiber
Kokum Sherbet,Beverage,Veg,Uncooked,1 glass,80,0,20,0,0,Cooling
Kolhapuri Chicken,Main Course,Non-Veg,Cooked,1 bowl (200g),400,28,8,28,2,Very Spicy
Kolkata Biryani (Chicken),Rice,Non-Veg,Cooked,1 serving,420,18,48,16,2,Potato
Kootu (Spinach/Dal),Main Course,Veg,Cooked,1 bowl (200g),210,10,24,6,5,"Protein, Iron"
Kosha Mangsho,Main,Non-Veg,Cooked,1 serving,500,25,12,35,1,Bengali Mutton
Kotto Parotta,Breads,Veg,Cooked,1 serving,400,10,45,20,2,Minced Bread
Kulcha (Plain),Breads,Veg,Cooked,1 piece,180,5,30,4,1,Fermented
Kulfi,Dessert,Veg,Cooked,1 stick,240,6,24,14,0,Indian Ice Cream
Kulfi (Malai),Sweet,Veg,Cooked,1 stick,200,5,20,12,0,Frozen
Kurkure Green Chutney,Snacks,Veg,Ready to Eat,30g,163,2,17,10,0.5,Spices
Kurkure Masala Munch,Snacks,Veg,Ready to Eat,30g,165,2,17,10,0.5,Spices
Kurkure Puffcorn,Snacks,Veg,Ready to Eat,30g,150,1,18,9,0,Corn
Kwality Walls Cornetto,Ice Cream,Veg,Ready to Eat,60g,180,3,22,9,0,Sugar
Kwality Walls Magnum,Ice Cream,Veg,Ready to Eat,70g,240,3,24,15,0,Chocolate
Laal Maas,Main,Non-Veg,Cooked,1 serving,480,26,8,36,1,Rajasthani
Lachha Paratha,Breads,Veg,Cooked,1 piece,300,5,35,15,2,Layered
Ladyfinger (Bhindi),Vegetables,Veg,Raw,100g,33,1.9,7.5,0.2,3.2,Folate
Langar Wali Dal,Main,Veg,Cooked,1 bowl,230,9,24,10,6,Community
Lassi (Salted),Beverage,Veg,Uncooked,1 glass,120,8,8,8,0,Probiotic
Lassi (Sweet),Beverage,Veg,Uncooked,1 glass,250,8,35,10,0,Yogurt
Lauki Kofta,Main,Veg,Cooked,1 serving,220,5,18,14,3,Gourd Dumplings
Lauki Sabzi,Main,Veg,Cooked,1 serving,110,2,10,6,3,Light
Lays Classic Salted,Snacks,Veg,Ready to Eat,30g,160,2,15,10,1,Sodium
Lays Cream & Onion,Snacks,Veg,Ready to Eat,30g,162,2,16,10,1,Sodium
Lays Magic Masala,Snacks,Veg,Ready to Eat,30g,160,2,16,10,1,Sodium
Lays Tomato Tango,Snacks,Veg,Ready to Eat,30g,160,2,16,10,1,Sodium
Lemon,Vegetables,Veg,Uncooked,1 fruit,29,1.1,9,0.3,2.8,Vitamin C
Lemon Pickle,Side,Veg,Uncooked,1 tsp,15,0,2,0.5,0,Vit C
Lemon Rice,Rice,Veg,Cooked,1 bowl,180,4,32,5,1,Vitamin C
Lettuce,Vegetables,Veg,Uncooked,100g,15,1.4,2.9,0.2,1.3,Hydration
Limca,Beverage,Veg,Ready to Eat,250ml,105,0,26,0,0,Sugar
Lipton Green Tea,Beverage Mix,Veg,Uncooked,1Bag,0,0,0,0,0,Antioxidants
Litti Chokha,Snack,Veg,Cooked,2 pcs,350,12,55,10,8,Bihari
Little Millet (Kutki),Grains,Veg,Raw,100g,341,7.7,67,4.7,7.6,B Vitamins
Lobia (Black Eyed Peas),Pulses,Veg,Raw,100g,336,24,60,1.3,11,Folate
Lobia Curry (Black eyed peas),Main Course,Veg,Cooked,1 bowl (200g),290,13,42,8,9,"Folate, Iron"
Lobia Masala,Main,Veg,Cooked,1 bowl,230,10,30,7,7,Black Eyed Peas
Lotus Stem (Kamal Kakdi),Vegetables,Veg,Raw,100g,74,2.6,17,0.1,5,Fiber
Lucchi,Bread,Veg,Cooked,2 pieces,280,3,36,14,1,Maida Poori
Luchi,Breads,Veg,Cooked,1 piece,150,3,18,8,0.5,Maida Fry
Lychee,Fruits,Veg,Uncooked,100g,66,0.8,16,0.4,1.3,Vit C
Maa Ki Dal,Main,Veg,Cooked,1 bowl,250,9,25,12,6,Rich
Maaza,Beverage,Veg,Ready to Eat,200ml,120,0,30,0,0,Mango Pulp
Maggi 2-Minute Noodles,Instant Food,Veg,Uncooked,70g,300,7,42,11,2,Sodium
Maggi Chicken Noodles,Instant Food,Non-Veg,Uncooked,71g,315,8,43,12,2,Sodium
Maggi Oats Noodles,Instant Food,Veg,Uncooked,70g,290,7,42,10,3,Oats
Maggi Tomato Ketchup,Staples,Veg,Ready to Eat,15g,22,0,5.5,0,0,Sodium
Maida (Refined Flour),Grains,Veg,Raw,100g,364,10,76,1,0.3,Carbohydrates
Makhana (Roasted),Snack,Veg,Cooked,1 cup,120,4,25,1,2,Foxnut
Makki (Maize Flour),Grains,Veg,Raw,100g,365,9,74,4,7,Vitamin A
Makki Ki Roti,Breads,Veg,Cooked,1 piece,150,4,25,5,3,Corn Meal
Malabar Parotta,Breads,Veg,Cooked,1 piece,320,6,40,15,1,Maida Base
Malai (Cream),Dairy,Veg,Raw,1 tbsp,40,0.5,0.5,4,0,Fat
Malai Kofta,Main,Veg,Cooked,1 serving,380,8,30,25,3,Party Food
Malpua,Sweet,Veg,Cooked,1 piece,200,3,30,8,0,Pancake
Malvani Fish Curry,Main Course,Non-Veg,Cooked,1 bowl (200g),330,24,8,22,2,"Coconut, Spicy"
Manchow Soup,Soup,Veg,Cooked,1 bowl,140,3,22,4,2,"Spicy, Fried Noodles"
Mangalore Buns,Breakfast,Veg,Cooked,2 pieces,300,6,45,12,2,Sweet Banana
Mango (Alphonso),Fruits,Veg,Uncooked,1 medium,150,2,38,1,4,Vitamin A
Mango Lassi,Beverage,Veg,Cooked,1 glass (250ml),280,7,45,6,1,"Vitamin A, Carbs"
Mango Pickle,Side,Veg,Uncooked,1 tsp,25,0,2,2,0,Probiotic
Marie Biscuit,Snack,Veg,Cooked,1 piece,22,0.5,3.5,0.5,0,Tea Time
Masala Chai,Beverage,Veg,Cooked,1 cup,80,3,10,3,0,Spices
Masala Dosa,Breakfast,Veg,Cooked,1 medium,350,8,45,15,3,Stuffed
Masala Khichdi,Rice,Veg,Cooked,1 bowl,220,8,32,6,4,Veggies
Masala Vada,Snack,Veg,Cooked,2 pieces,300,9,28,19,4,Crunchy
Masoor Dal,Dal,Veg,Cooked,1 bowl (150g),190,11,28,4,7,"Iron, Protein"
Masoor Dal (Split),Pulses,Veg,Raw,100g,340,25,60,1,15,Iron
Masoor Dal Curry,Main,Veg,Cooked,1 bowl,140,9,20,3,5,Protein
Masoor Whole (Brown),Pulses,Veg,Raw,100g,330,24,60,1.5,18,Fiber
Matar Paneer,Main,Veg,Cooked,1 serving,280,12,15,18,3,Protein
Matar Paratha,Breads,Veg,Cooked,1 piece,240,6,34,9,4,Winter Special
Matar Pulao,Rice,Veg,Cooked,1 bowl,190,5,35,4,2,Peas
Mathri,Snack,Veg,Cooked,2 pieces,180,3,20,10,1,Tea Snack
Matka Kulfi,Dessert,Veg,Cooked,1 pot,280,7,26,16,0,Saffron Pistachio
Medu Vada,Breakfast,Veg,Cooked,2 pieces,280,8,25,18,2,Fried Lentil
Methi Malai Matar,Main,Veg,Cooked,1 serving,280,8,20,18,4,Creamy
Methi Paratha,Breads,Veg,Cooked,1 piece,220,5,28,10,3,Iron
Milk (Buffalo),Dairy,Veg,Raw,100ml,97,3.7,5,6.9,0,High Fat
Milk (Cow),Dairy,Veg,Raw,100ml,67,3.2,4.5,3.9,0,Calcium
Milk Cake,Sweet,Veg,Cooked,1 piece,160,5,20,8,0,Solid Milk
Mint Chutney,Side,Veg,Uncooked,1 tbsp,15,0.5,2,0.5,1,Dip
Mint Leaves (Pudina),Vegetables,Veg,Uncooked,100g,70,3.8,15,0.9,8,Digestion
Mirchi Bajji,Snack,Veg,Cooked,1 piece,150,3,15,10,2,Chilli
Mirchi Vada,Snack,Veg,Cooked,1 piece,220,4,28,11,2,"Spicy, Fried"
Mirinda,Beverage,Veg,Ready to Eat,250ml,120,0,30,0,0,Sugar
Misal Pav,Snack,Veg,Cooked,1 serving,400,12,50,18,8,Sprouts Spicy
Mishti Doi,Sweet,Veg,Cooked,1 bowl,220,6,30,8,0,Fermented
Missi Roti,Breads,Veg,Cooked,1 piece,140,5,20,4,3,Gram Flour
Mix Veg Curry,Main,Veg,Cooked,1 serving,200,5,22,10,5,Vitamins
Mix Veg Paratha,Breads,Veg,Cooked,1 piece,250,5,34,11,4,Vitamins
Mixed Pickle,Side,Veg,Uncooked,1 tsp,30,0,2,2.5,0,Spicy
Modak,Sweet,Veg,Cooked,2 pieces,280,3,42,10,2,Coconut Jaggery
Modak (Steamed),Sweet,Veg,Cooked,2 pieces,180,2,35,4,1,Coconut Fill
Mohun Corn Flakes,Breakfast,Veg,Ready to Eat,30g,110,2,25,0.5,1,Corn
Momos (Chicken Steamed),Snack,Non-Veg,Cooked,6 pieces,260,14,38,6,1.5,"Protein, Steamed"
Momos (Veg Steamed),Snack,Veg,Cooked,6 pieces,210,5,42,3,2.5,Steamed Carbs
Monaco Biscuit,Snacks,Veg,Ready to Eat,50g,240,4,30,11,1,Salt
Monsoon Harvest Muesli,Breakfast,Veg,Ready to Eat,50g,210,5,34,6,4,Millets
Monster Energy,Beverage,Veg,Ready to Eat,250ml,120,0,30,0,0,Caffeine
Monster Ultra White,Beverage,Veg,Ready to Eat,250ml,10,0,2,0,0,Caffeine
Mooli Paratha,Breads,Veg,Cooked,1 piece,230,5,32,10,5,Digestion
Moong Dal (Boiled),Main,Veg,Cooked,1 bowl,105,7,18,0.5,4,Light
Moong Dal (Yellow Split),Pulses,Veg,Raw,100g,348,24,60,1.2,16,Protein
Moong Dal Halwa,Sweet,Veg,Cooked,1 bowl,400,8,50,20,2,Rich
Moong Dal Tadka,Main Course,Veg,Cooked,1 bowl (150g),210,12,30,6,8,"Folate, Magnesium"
Moong Whole (Green),Pulses,Veg,Raw,100g,334,24,59,1.3,16,"Fiber, Protein"
Mor Kuzhambu,Main,Veg,Cooked,1 bowl,180,5,15,10,2,Yogurt
Moth Beans,Pulses,Veg,Raw,100g,343,23,62,1.6,15,Calcium
Mother Dairy Classic Dahi,Dairy,Veg,Ready to Eat,100g,62,3.7,4.8,3,0,Calcium
Mother Dairy Ghee,Staples,Veg,Uncooked,15g,135,0,0,15,0,Saturated Fat
Mother Dairy Lassi,Beverage,Veg,Ready to Eat,200ml,150,4,22,5,0,Calcium
Mother Dairy Paneer,Dairy,Veg,Uncooked,100g,285,18,2.5,22,0,Protein
Mother Dairy Vanilla Cup,Ice Cream,Veg,Ready to Eat,50g,100,2,12,5,0,Sugar
Motichoor Laddu,Sweet,Veg,Cooked,1 piece,200,2,25,12,1,Boondi
MTR Badam Drink Mix,Beverage Mix,Veg,Uncooked,15g,60,2,10,2,1,Almonds
MTR Gulab Jamun Mix,Instant Food,Veg,Uncooked,100g,380,10,60,10,0,Sugar
MTR Idli Mix,Instant Food,Veg,Uncooked,100g,340,10,70,1,2,Rice
MTR Poha Mix,Instant Food,Veg,Uncooked,80g,300,6,50,8,3,Iron
MTR Upma Mix,Instant Food,Veg,Uncooked,80g,320,8,48,10,3,Semolina
MTR Vermicelli,Staples,Veg,Uncooked,100g,350,10,75,1,3,Wheat
Mulberry (Shahtoot),Fruits,Veg,Uncooked,100g,43,1.4,9.8,0.4,1.7,Iron
Mulligatawny Soup,Soup,Non-Veg,Cooked,1 bowl,180,8,22,6,3,Lentil Chicken
Munch,Sweets,Veg,Ready to Eat,20g,95,1,13,4,0,Wafer
MuscleBlaze Peanut Butter,Health,Vegan,Ready to Eat,32g,200,9,7,15,2,Protein
MuscleBlaze Whey Protein,Health,Veg,Uncooked,30g,118,24,3,1,0,Protein
Mushroom (Button),Vegetables,Veg,Raw,100g,22,3.1,3.3,0.3,1,Vitamin D
Mushroom Masala,Main,Veg,Cooked,1 serving,180,8,12,10,4,Umami
Mushroom Matar,Main Course,Veg,Cooked,1 bowl (200g),180,10,14,9,5,"Vitamin D, Fiber"
Muskmelon (Kharbuja),Fruits,Veg,Uncooked,1 cup,53,1.3,13,0.3,1.2,Hydration
Mustard Oil,Fats,Veg,Raw,1 tbsp,120,0,0,14,0,Omega 3
Mutton Biryani,Rice,Non-Veg,Cooked,1 serving,500,22,45,25,2,Rich
Mutton Curry,Main,Non-Veg,Cooked,1 serving,400,25,8,28,1,Red Meat
Mutton Keema,Main Course,Non-Veg,Cooked,1 bowl (150g),380,22,6,28,1,"Protein, Fat"
Mutton Korma,Main,Non-Veg,Cooked,1 serving,500,26,12,38,1,Rich
Mutton Momos,Snack,Non-Veg,Cooked,1 plate (6pcs),320,14,32,15,1,Rich
Mutton Rogan Josh,Main,Non-Veg,Cooked,1 serving,450,25,10,32,1,Kashmiri
Mutton Stew,Main Course,Non-Veg,Cooked,1 bowl (250g),420,26,12,28,2,"Rich, Coconut"
MyFitness Peanut Butter,Health,Vegan,Ready to Eat,32g,198,10,6,16,2,Protein
Mysore Masala Dosa,Breakfast,Veg,Cooked,1 medium,380,8,48,18,3,Spicy Paste
Mysore Pak,Sweet,Veg,Cooked,1 piece,250,2,25,18,0,Ghee Bomb
Nankhatai,Snack,Veg,Cooked,1 piece,60,0.5,8,3,0,Shortbread
Natukodi Pulusu,Main Course,Non-Veg,Cooked,1 bowl (200g),300,28,6,18,1.5,Country Chicken
Navratan Korma,Main,Veg,Cooked,1 serving,320,7,28,20,4,Fruits & Nuts
Neer Dosa,Breakfast,Veg,Cooked,3 pieces,240,4,45,5,1,Rice Crepe
Nescafe Classic Coffee,Beverage Mix,Veg,Uncooked,2g,5,0.5,1,0,0,Caffeine
Nestle Slim Milk,Dairy,Veg,Ready to Eat,200ml,70,7,10,0.5,0,Low Fat
Nimbu Pani,Beverage,Veg,Uncooked,1 glass,40,0,10,0,0,Hydration
Nutella Hazelnut Spread,Staples,Veg,Ready to Eat,15g,80,1,8,4,0,Hazelnut
Nutrela Soya Chunks,Staples,Veg,Uncooked,100g,345,52,33,0.5,13,High Protein
Oats,Grains,Veg,Raw,100g,389,16,66,7,10,Soluble Fiber
Omelette (2 eggs),Breakfast,Non-Veg,Cooked,2 eggs + veggies,210,14,4,16,0.5,"Protein, Quick Meal"
Omelette (Masala),Snack,Non-Veg,Cooked,2 eggs,210,14,4,16,1,Breakfast
Onion (Red),Vegetables,Veg,Raw,1 medium,40,1.1,9,0.1,1.7,Quercetin
Onion Pakora,Snack,Veg,Cooked,1 serving,250,5,20,18,3,Fritters
Onion Uttapam,Breakfast,Veg,Cooked,1 medium,240,6,38,7,3,Topped
Open Bao (Chicken),Snack,Non-Veg,Cooked,1 piece,190,8,22,7,1,Tasty
Open Bao (Veg),Snack,Veg,Cooked,1 piece,150,4,25,4,1,Fluffy
Optimum Nutrition Whey,Health,Veg,Uncooked,30g,120,24,3,1,0,Protein
Orange,Fruits,Veg,Uncooked,1 medium,62,1.2,15,0.2,3,Vitamin C
Oreo Biscuit,Snacks,Veg,Ready to Eat,45g,220,2,32,9,1,Sugar
Organic India Green Tea,Beverage Mix,Veg,Uncooked,1Bag,0,0,0,0,0,Antioxidants
Organic Tattva Chana Dal,Staples,Veg,Uncooked,100g,370,20,60,5,10,Organic
Organic Tattva Toor Dal,Staples,Veg,Uncooked,100g,335,22,60,1.5,15,Organic
Organic Tattva Wheat Flour,Staples,Veg,Uncooked,100g,360,12,74,1.5,11,Organic
Oziva Plant Protein,Health,Vegan,Uncooked,30g,115,22,4,2,1,Pea Protein
Pakhala Bhata,Rice,Veg,Cooked,1 bowl,140,3,30,1,1,Fermented
Palak Paneer,Main,Veg,Cooked,1 serving,260,14,10,18,5,Iron
Panchmel Dal,Main,Veg,Cooked,1 bowl,220,10,25,8,6,Mixed Lentils
Paneer (Raw),Dairy,Veg,Raw,100g,265,18,1.2,20,0,Casein
Paneer Bhurji,Main,Veg,Cooked,1 serving,250,18,8,16,1,Scrambled
Paneer Butter Masala,Main,Veg,Cooked,1 serving,340,12,18,24,2,Rich
Paneer Fried Momos,Snack,Veg,Cooked,1 plate (6pcs),430,12,38,26,1,Rich
Paneer Pakora,Snack,Veg,Cooked,1 piece,180,8,10,12,0,Fried Cheese
Paneer Paratha,Breads,Veg,Cooked,1 piece,290,9,30,15,2,Protein
Paneer Roll,Snack,Veg,Cooked,1 roll,450,16,46,22,2,Veg Protein
Paneer Steamed Momos,Snack,Veg,Cooked,1 plate (6pcs),290,12,38,10,1,Calcium
Pani Puri,Snack,Veg,Cooked,6 pieces,180,4,32,6,2,"Fun, Low Cal"
Pani Puri (Gol Gappa),Snack,Veg,Cooked,6 pieces,120,2,22,4,1,Tangy Water
Paniyaram,Breakfast,Veg,Cooked,5 pieces,200,5,30,7,1,Rice Balls
Papaya,Fruits,Veg,Uncooked,1 cup,62,0.7,16,0.4,2.5,Papain
Papdi Chaat,Snack,Veg,Cooked,1 serving,320,6,40,16,3,Crispy
Paper Boat Aam Panna,Beverage,Veg,Ready to Eat,200ml,100,0,25,0,0,Spices
Paper Boat Coconut Water,Beverage,Veg,Ready to Eat,200ml,40,0,10,0,0,Electrolytes
Paper Boat Jaljeera,Beverage,Veg,Ready to Eat,200ml,40,0,10,0,0,Spices
Parle Krackjack,Snacks,Veg,Ready to Eat,30g,150,2,20,7,0,Salt
Parle-G Biscuit,Snacks,Veg,Ready to Eat,50g,230,3,38,7,1,Glucose
Parle-G Type,Snack,Veg,Cooked,1 piece,25,0.3,4,1,0,Glucose
Patanjali Corn Flakes,Breakfast,Veg,Ready to Eat,30g,110,2,25,0.5,1,Corn
